,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,BorrowerState,Occupation,EmploymentStatus,CreditScoreRangeUpper,Credit,Rate_Range,Count
23586,2011-07-01 13:24:53.740000000,36,Chargedoff,2012-05-31 00:00:00,0.22362,0.1899,WI,Professional,Full-time,739.0,Good,15-19.99%,1
23604,2013-06-03 13:03:22.843000000,60,Current,,0.15629,0.1334,WI,Accountant/CPA,Employed,739.0,Good,10-14.99%,1
23618,2008-08-29 13:15:04.567000000,36,Completed,2011-09-05 00:00:00,0.18842,0.1665,WI,Accountant/CPA,Full-time,659.0,Fair,15-19.99%,1
23679,2010-10-25 17:20:57.530000000,36,Completed,2012-07-13 00:00:00,0.29161,0.255,WI,Professional,Employed,719.0,Good,25-29.99%,1
23684,2012-03-22 07:55:57.613000000,36,Completed,2012-07-06 00:00:00,0.24246,0.2049,WI,Administrative Assistant,Employed,779.0,Excellent,20-24.99%,1
23771,2011-06-07 12:46:45.183000000,12,Completed,2011-11-22 00:00:00,0.0693,0.0599,WI,Professional,Full-time,839.0,Excellent,5-9.99%,1
23855,2012-01-16 05:24:26.543000000,36,Completed,2012-03-30 00:00:00,0.35797,0.3177,WI,Other,Employed,679.0,Fair,30-34.99%,1
23865,2014-02-24 12:59:12.990000000,36,Current,,0.11548,0.0874,WI,Other,Employed,699.0,Fair,5-9.99%,1
23866,2011-08-22 09:57:17.530000000,36,Chargedoff,2013-11-24 00:00:00,0.124,0.1029,WI,Professional,Full-time,759.0,Excellent,10-14.99%,1
23970,2012-03-15 10:39:31.303000000,36,Chargedoff,2013-03-24 00:00:00,0.33553,0.2958,WI,Laborer,Employed,679.0,Fair,25-29.99%,1
24023,2011-03-18 18:29:14.617000000,36,Completed,2014-01-14 00:00:00,0.1716,0.1499,WI,Accountant/CPA,Employed,799.0,Excellent,10-14.99%,1
24061,2006-11-29 08:02:01.593000000,36,Completed,2009-09-16 00:00:00,0.09688,0.09,WI,Other,Not available,779.0,Excellent,5-9.99%,1
24197,2013-11-23 04:46:25.107000000,60,Current,,0.22549,0.201,WI,Other,Self-employed,699.0,Fair,20-24.99%,1
24217,2012-08-20 19:24:40.947000000,36,Completed,2013-04-25 00:00:00,0.08829,0.0749,WI,Sales - Commission,Employed,839.0,Excellent,5-9.99%,1
24224,2009-11-16 07:12:53.817000000,36,Completed,2012-07-17 00:00:00,0.39153,0.35,WI,Sales - Retail,Full-time,639.0,Poor,35-39.99%,1
24230,2013-09-12 20:20:09.843000000,60,Current,,0.18965,0.166,WI,Other,Employed,719.0,Good,15-19.99%,1
24381,2013-08-14 16:47:34.057000000,36,Current,,0.20462,0.1679,WI,Sales - Commission,Employed,719.0,Good,15-19.99%,1
24383,2008-06-10 15:22:13.627000000,36,Completed,2009-03-16 00:00:00,0.08471,0.071,WI,Professional,Full-time,759.0,Excellent,5-9.99%,1
24610,2013-11-05 15:33:24.233000000,60,Current,,0.22601,0.2015,WI,Other,Employed,699.0,Fair,20-24.99%,1
24677,2011-04-19 11:35:52.927000000,36,Current,,0.35643,0.3199,WI,Retail Management,Employed,659.0,Fair,30-34.99%,1
24740,2013-11-17 08:33:57.673000000,36,Current,,0.13799,0.1099,WI,Nurse (RN),Employed,739.0,Good,10-14.99%,1
24796,2013-11-12 14:49:07.227000000,36,Current,,0.13301,0.105,WI,,Other,719.0,Good,10-14.99%,1
24820,2010-11-17 14:58:46.727000000,36,Completed,2013-12-13 00:00:00,0.17069,0.149,WI,Other,Retired,799.0,Excellent,10-14.99%,1
24826,2014-02-02 09:07:51.933000000,36,Current,,0.15223,0.1239,WI,Laborer,Employed,699.0,Fair,10-14.99%,1
24878,2008-04-17 10:14:04.310000000,36,Completed,2008-05-05 00:00:00,0.21223,0.19,WI,Laborer,Full-time,639.0,Poor,15-19.99%,1
24886,2012-03-11 10:37:25.563000000,60,Current,,0.35838,0.3304,WI,Other,Employed,699.0,Fair,30-34.99%,1
24982,2012-10-20 10:59:14.193000000,60,Current,,0.20367,0.1797,WI,Professional,Employed,699.0,Fair,15-19.99%,1
25092,2010-04-01 11:23:19.497000000,36,Completed,2012-12-27 00:00:00,0.36945,0.345,WI,Police Officer/Correction Officer,Full-time,679.0,Fair,30-34.99%,1
25131,2013-12-20 05:51:53.920000000,60,Current,,0.15425,0.1314,WI,Tradesman - Electrician,Employed,739.0,Good,10-14.99%,1
25207,2014-01-15 16:00:15.467000000,36,Current,,0.14206,0.1139,WI,Executive,Employed,719.0,Good,10-14.99%,1
25212,2006-10-17 08:59:56.043000000,36,Completed,2009-10-29 00:00:00,0.11044,0.1035,WI,Other,Not available,759.0,Excellent,10-14.99%,1
25227,2010-03-14 08:02:18.890000000,36,Completed,2013-04-03 00:00:00,0.11296,0.092,WI,Other,Full-time,739.0,Good,5-9.99%,1
25306,2008-09-24 14:15:05.047000000,36,Completed,2009-02-25 00:00:00,0.10972,0.0888,WI,Skilled Labor,Full-time,739.0,Good,5-9.99%,1
25354,2012-09-14 08:20:16.523000000,36,Chargedoff,2013-10-21 00:00:00,0.2706,0.2324,WI,Other,Employed,619.0,Poor,20-24.99%,1
25392,2010-12-21 17:58:11.080000000,36,Completed,2011-07-14 00:00:00,0.13068,0.1095,WI,Engineer - Electrical,Employed,839.0,Excellent,10-14.99%,1
25502,2013-03-16 15:08:26.493000000,36,Current,,0.25781,0.2199,WI,Other,Other,719.0,Good,20-24.99%,1
25542,2011-08-03 19:28:20.033000000,36,Completed,2013-07-18 00:00:00,0.22362,0.1899,WI,Other,Employed,759.0,Excellent,15-19.99%,1
25617,2014-02-03 11:08:04.107000000,36,Current,,0.1954,0.1585,WI,Nurse (RN),Employed,679.0,Fair,15-19.99%,1
25718,2012-06-19 16:49:01.720000000,36,Completed,2013-05-03 00:00:00,0.25259,0.2148,WI,Professional,Employed,679.0,Fair,20-24.99%,1
25736,2012-01-27 22:24:11.740000000,60,Completed,2013-11-01 00:00:00,0.20358,0.1845,WI,Sales - Commission,Employed,719.0,Good,15-19.99%,1
25830,2008-06-28 18:26:48.943000000,36,Completed,2011-08-26 00:00:00,0.11897,0.112,WI,Other,Self-employed,779.0,Excellent,10-14.99%,1
25866,2013-10-09 06:33:32.157000000,36,Current,,0.06726,0.0605,WI,Engineer - Electrical,Employed,819.0,Excellent,5-9.99%,1
25923,2006-12-22 09:47:59.427000000,36,Completed,2008-05-15 00:00:00,0.09417,0.0873,WI,Truck Driver,Not available,739.0,Good,5-9.99%,1
26033,2011-07-24 08:57:50.127000000,60,Current,,0.24252,0.2199,WI,Truck Driver,Employed,719.0,Good,20-24.99%,1
26549,2013-04-25 04:08:19.813000000,60,Completed,2013-10-17 00:00:00,0.24282,0.2179,WI,Fireman,Employed,759.0,Excellent,20-24.99%,1
26632,2011-12-12 09:17:13.130000000,36,Current,,0.19108,0.1621,WI,Clerical,Employed,759.0,Excellent,15-19.99%,1
26662,2012-08-13 08:47:32.810000000,36,Completed,2012-10-30 00:00:00,0.35797,0.3177,WI,Laborer,Employed,739.0,Good,30-34.99%,1
26705,2008-06-10 15:09:59.363000000,36,Chargedoff,2009-02-20 00:00:00,0.18183,0.16,WI,Student - College Freshman,Self-employed,679.0,Fair,15-19.99%,1
26766,2012-05-23 14:31:22.887000000,36,Completed,2012-06-25 00:00:00,0.28851,0.2499,WI,Laborer,Employed,819.0,Excellent,20-24.99%,1
26855,2014-01-08 13:25:59.437000000,36,Current,,0.14751,0.1189,WI,Computer Programmer,Employed,699.0,Fair,10-14.99%,1
26876,2014-01-30 09:11:35.677000000,36,Current,,0.22966,0.192,WI,Other,Other,679.0,Fair,15-19.99%,1
26904,2013-07-24 12:33:02.267000000,60,Current,,0.30748,0.2809,WI,Other,Employed,679.0,Fair,25-29.99%,1
26935,2014-03-04 14:11:25.987000000,36,Current,,0.21636,0.179,WI,Other,Employed,739.0,Good,15-19.99%,1
26949,2012-08-02 10:50:57.207000000,36,Chargedoff,2013-06-29 00:00:00,0.2706,0.2324,WI,Laborer,Employed,639.0,Poor,20-24.99%,1
26973,2011-03-31 10:36:14.437000000,36,Completed,2011-08-12 00:00:00,0.2951,0.2599,WI,Laborer,Employed,759.0,Excellent,25-29.99%,1
27056,2011-11-27 12:43:19.437000000,36,Completed,2012-05-11 00:00:00,0.29486,0.2561,WI,Skilled Labor,Employed,659.0,Fair,25-29.99%,1
27111,2010-07-29 19:45:20.077000000,36,Completed,2013-08-09 00:00:00,0.13271,0.1115,WI,Skilled Labor,Full-time,799.0,Excellent,10-14.99%,1
27168,2012-11-03 18:21:42.617000000,36,Current,,0.35797,0.3177,WI,Car Dealer,Employed,759.0,Excellent,30-34.99%,1
27232,2011-03-07 18:15:23.253000000,36,Completed,2013-07-09 00:00:00,0.35643,0.3199,WI,Attorney,Employed,759.0,Excellent,30-34.99%,1
27274,2007-05-27 08:12:40.937000000,36,Defaulted,2009-05-20 00:00:00,0.14558,0.1385,WI,Pharmacist,Full-time,699.0,Fair,10-14.99%,1
27292,2013-09-09 14:54:43.597000000,60,Current,,0.21576,0.1915,WI,Professional,Employed,719.0,Good,15-19.99%,1
27323,2008-03-24 06:26:50.170000000,36,Completed,2011-04-01 00:00:00,0.12562,0.1045,WI,Other,Full-time,659.0,Fair,10-14.99%,1
27385,2013-11-01 10:43:57.957000000,60,Current,,0.21935,0.195,WI,Engineer - Mechanical,Employed,719.0,Good,15-19.99%,1
27529,2008-02-12 13:52:50.967000000,36,Completed,2008-04-22 00:00:00,0.15713,0.15,WI,Professional,Full-time,859.0,Excellent,15-19.99%,1
27532,2013-09-09 14:06:18.307000000,36,Current,,0.12691,0.099,WI,,Other,719.0,Good,5-9.99%,1
27581,2014-03-01 06:22:20.327000000,36,Current,,0.07654,0.0629,WI,Skilled Labor,Employed,759.0,Excellent,5-9.99%,1
27765,2008-07-08 15:02:47.643000000,36,Completed,2011-07-17 00:00:00,0.08805,0.0812,WI,Professional,Full-time,819.0,Excellent,5-9.99%,1
27798,2006-05-02 11:09:38.733000000,36,Completed,2006-10-11 00:00:00,0.18475,0.1775,WI,,,619.0,Poor,15-19.99%,1
27804,2013-07-05 09:16:08.070000000,36,Current,,0.25781,0.2199,WI,Clerical,Employed,719.0,Good,20-24.99%,1
28033,2012-01-09 11:40:55.387000000,36,Completed,2013-04-10 00:00:00,0.35797,0.3177,WI,Retail Management,Employed,719.0,Good,30-34.99%,1
28039,2013-11-20 10:37:29.447000000,60,Current,,0.17685,0.1535,WI,Computer Programmer,Self-employed,699.0,Fair,15-19.99%,1
28075,2013-09-19 21:07:18.303000000,36,Current,,0.18479,0.1485,WI,Other,Self-employed,759.0,Excellent,10-14.99%,1
28087,2008-01-30 20:03:56.757000000,36,Chargedoff,2010-03-09 00:00:00,0.13625,0.115,WI,Other,Full-time,679.0,Fair,10-14.99%,1
28141,2014-02-24 07:11:59.333000000,36,Current,,0.17138,0.135,WI,Tradesman - Mechanic,Employed,659.0,Fair,10-14.99%,1
28150,2013-10-20 09:59:17.620000000,36,Current,,0.26917,0.231,WI,,Other,679.0,Fair,20-24.99%,1
28168,2013-10-10 18:05:34.723000000,36,Current,,0.18837,0.152,WI,Clerical,Employed,699.0,Fair,15-19.99%,1
28209,2008-09-30 12:13:22.100000000,36,Completed,2009-09-25 00:00:00,0.24846,0.22,WI,Other,Full-time,539.0,Bad,20-24.99%,1
28261,2012-12-11 11:08:00.307000000,60,Current,,0.33709,0.3097,WI,Accountant/CPA,Employed,639.0,Poor,30-34.99%,1
28277,2012-06-10 19:11:18.250000000,36,Current,,0.15538,0.127,WI,Laborer,Employed,819.0,Excellent,10-14.99%,1
28285,2012-08-02 10:30:57.537000000,36,Completed,2013-02-20 00:00:00,0.14816,0.1199,WI,Laborer,Employed,779.0,Excellent,10-14.99%,1
28304,2013-06-01 10:21:09.890000000,60,Current,,0.13942,0.1169,WI,Construction,Employed,779.0,Excellent,10-14.99%,1
28409,2011-02-17 04:52:45.647000000,36,Completed,2012-03-16 00:00:00,0.2951,0.2599,WI,Other,Retired,679.0,Fair,25-29.99%,1
28476,2013-06-19 17:11:52.013000000,60,Current,,0.19364,0.1699,WI,Administrative Assistant,Employed,719.0,Good,15-19.99%,1
28765,2008-05-02 10:17:01,36,Completed,2011-01-18 00:00:00,0.35423,0.33,WI,Analyst,Full-time,579.0,Poor,30-34.99%,1
28796,2012-08-29 07:51:11.427000000,36,Current,,0.21434,0.1774,WI,Sales - Commission,Employed,679.0,Fair,15-19.99%,1
28971,2013-04-15 07:05:58.437000000,60,Completed,2013-09-04 00:00:00,0.19364,0.1699,WI,Nurse (RN),Employed,739.0,Good,15-19.99%,1
29002,2014-02-15 10:46:40.163000000,36,Current,,0.17189,0.1355,WI,Professional,Employed,719.0,Good,10-14.99%,1
29093,2013-08-13 07:21:29.533000000,36,Current,,0.35356,0.3134,WI,Other,Other,739.0,Good,30-34.99%,1
29111,2006-09-30 13:33:20.573000000,36,Completed,2009-10-11 00:00:00,0.17722,0.17,WI,Other,Not available,519.0,Bad,15-19.99%,1
29143,2013-08-04 12:00:39.200000000,60,Current,,0.29341,0.2672,WI,Laborer,Employed,719.0,Good,25-29.99%,1
29147,2013-08-22 14:04:44.537000000,36,Current,,0.15324,0.1249,WI,Teacher,Employed,719.0,Good,10-14.99%,1
29193,2011-12-01 16:00:08.570000000,60,Current,,0.21989,0.2005,WI,Other,Employed,679.0,Fair,20-24.99%,1
29216,2013-08-27 13:39:30.740000000,36,Current,,0.24246,0.2049,WI,Other,Employed,659.0,Fair,20-24.99%,1
29272,2006-07-12 14:53:23.880000000,36,Completed,2009-07-24 00:00:00,0.11749,0.1,WI,Other,Not available,699.0,Fair,10-14.99%,1
29345,2013-11-05 11:38:07.443000000,60,Current,,0.28078,0.2549,WI,Professional,Employed,659.0,Fair,25-29.99%,1
29477,2006-11-11 11:19:25.237000000,36,Defaulted,2007-09-18 00:00:00,0.17722,0.17,WI,Other,Not available,659.0,Fair,15-19.99%,1
29505,2008-07-02 10:54:00.757000000,36,Completed,2011-05-24 00:00:00,0.1575,0.1432,WI,Truck Driver,Self-employed,699.0,Fair,10-14.99%,1
29659,2012-10-09 09:10:29.207000000,36,Completed,2013-06-21 00:00:00,0.12528,0.0974,WI,Sales - Retail,Employed,779.0,Excellent,5-9.99%,1
29671,2011-10-05 07:02:45.767000000,36,Completed,2013-05-20 00:00:00,0.202,0.1799,WI,Administrative Assistant,Employed,699.0,Fair,15-19.99%,1
29946,2014-02-13 06:28:15.763000000,36,Current,,0.27817,0.2394,WI,,Other,679.0,Fair,20-24.99%,1
29968,2012-09-18 14:29:06.567000000,36,Current,,0.13697,0.1089,WI,Other,Employed,679.0,Fair,10-14.99%,1
29994,2013-12-10 17:18:58.910000000,36,Current,,0.13799,0.1099,WI,Accountant/CPA,Self-employed,759.0,Excellent,10-14.99%,1
30042,2011-11-19 06:23:29.647000000,36,Current,,0.13545,0.1074,WI,Food Service,Full-time,719.0,Good,10-14.99%,1
30082,2014-02-03 15:22:43.987000000,36,Current,,0.21648,0.1795,WI,Truck Driver,Employed,739.0,Good,15-19.99%,1
30119,2011-10-21 09:21:24.723000000,36,Current,,0.1322,0.111,WI,Other,Employed,719.0,Good,10-14.99%,1
30317,2011-10-12 20:04:12.407000000,36,Completed,2012-09-14 00:00:00,0.202,0.1799,WI,Teacher,Employed,719.0,Good,15-19.99%,1
30361,2013-04-16 09:38:33.377000000,36,Current,,0.17192,0.1359,WI,Clergy,Employed,719.0,Good,10-14.99%,1
30388,2013-03-20 06:21:41.983000000,36,Current,,0.12528,0.0974,WI,Other,Employed,799.0,Excellent,5-9.99%,1
30389,2012-10-24 08:08:23.870000000,60,Current,,0.15752,0.1346,WI,Professional,Employed,679.0,Fair,10-14.99%,1
30416,2011-03-04 11:15:15.403000000,36,Completed,2012-06-25 00:00:00,0.22872,0.1949,WI,Professional,Employed,659.0,Fair,15-19.99%,1
30437,2009-07-30 21:57:02.247000000,36,Completed,2012-08-19 00:00:00,0.13625,0.115,WI,Skilled Labor,Full-time,739.0,Good,10-14.99%,1
30598,2013-12-29 20:09:58.990000000,36,Current,,0.07922,0.0659,WI,Sales - Commission,Employed,759.0,Excellent,5-9.99%,1
30602,2013-03-17 08:50:35.260000000,60,Current,,0.22283,0.1984,WI,Construction,Employed,739.0,Good,15-19.99%,1
30611,2014-03-03 09:00:12.487000000,60,Current,,0.15817,0.135,WI,Other,Other,679.0,Fair,10-14.99%,1
30617,2011-03-21 17:15:15.667000000,60,Completed,2012-10-02 00:00:00,0.27322,0.2499,WI,Laborer,Employed,719.0,Good,20-24.99%,1
30625,2013-04-29 15:20:06.793000000,36,Current,,0.13138,0.1034,WI,Professional,Employed,779.0,Excellent,10-14.99%,1
30644,2013-01-13 20:07:01.497000000,36,Current,,0.26528,0.2272,WI,Other,Employed,699.0,Fair,20-24.99%,1
30740,2013-09-17 14:59:00.200000000,36,Current,,0.20626,0.1695,WI,Other,Employed,659.0,Fair,15-19.99%,1
30789,2008-03-12 09:20:03.417000000,36,Completed,2011-02-11 00:00:00,0.15144,0.13,WI,Doctor,Full-time,659.0,Fair,10-14.99%,1
30866,2014-01-28 17:42:58.443000000,60,Current,,0.21832,0.194,WI,Engineer - Mechanical,Employed,739.0,Good,15-19.99%,1
30891,2014-02-13 09:07:23.017000000,60,Current,,0.20372,0.1795,WI,Computer Programmer,Employed,699.0,Fair,15-19.99%,1
30919,2012-04-17 12:34:15.483000000,60,Current,,0.23318,0.2085,WI,Other,Employed,699.0,Fair,20-24.99%,1
30920,2009-09-06 16:25:41.877000000,36,Completed,2012-07-06 00:00:00,0.22237,0.2,WI,Computer Programmer,Full-time,759.0,Excellent,20-24.99%,1
30938,2012-04-09 05:56:01.487000000,36,Completed,2014-01-11 00:00:00,0.35797,0.3177,WI,Professional,Employed,719.0,Good,30-34.99%,1
31013,2013-06-29 00:47:10.103000000,60,Current,,0.20593,0.1819,WI,Nurse (RN),Employed,699.0,Fair,15-19.99%,1
31014,2013-02-16 07:53:42.963000000,60,Current,,0.13942,0.1169,WI,Other,Other,739.0,Good,10-14.99%,1
31042,2012-08-14 04:07:50.853000000,36,Current,,0.15833,0.1299,WI,Clerical,Employed,739.0,Good,10-14.99%,1
31065,2012-12-12 22:08:04,12,Completed,2014-01-06 00:00:00,0.21649,0.1389,WI,Computer Programmer,Employed,699.0,Fair,10-14.99%,1
31444,2013-12-06 17:48:50.693000000,36,Current,,0.0903,0.0769,WI,Executive,Employed,779.0,Excellent,5-9.99%,1
31544,2013-10-03 10:40:28.623000000,60,Current,,0.19681,0.173,WI,Other,Employed,719.0,Good,15-19.99%,1
31573,2013-02-14 11:47:12.020000000,36,Chargedoff,2014-02-03 00:00:00,0.19236,0.1559,WI,Other,Other,759.0,Excellent,15-19.99%,1
31607,2013-12-04 16:34:26.893000000,36,Current,,0.32446,0.285,WI,Professional,Employed,699.0,Fair,25-29.99%,1
31651,2012-04-09 15:22:50.880000000,36,Completed,2012-11-21 00:00:00,0.2837,0.2452,WI,Executive,Employed,759.0,Excellent,20-24.99%,1
31687,2014-01-19 14:12:00.803000000,60,Current,,0.13227,0.1099,WI,Attorney,Self-employed,739.0,Good,10-14.99%,1
31727,2011-10-12 16:25:48.627000000,36,Chargedoff,2013-11-16 00:00:00,0.25486,0.2205,WI,Engineer - Electrical,Employed,719.0,Good,20-24.99%,1
31838,2012-04-12 15:18:58.390000000,60,Current,,0.24702,0.222,WI,Food Service,Employed,759.0,Excellent,20-24.99%,1
31846,2011-08-28 07:39:06.487000000,36,Completed,2013-06-03 00:00:00,0.202,0.1799,WI,Other,Employed,699.0,Fair,15-19.99%,1
31869,2011-10-19 17:13:51.140000000,36,Defaulted,2012-12-28 00:00:00,0.2951,0.2599,WI,Truck Driver,Employed,759.0,Excellent,25-29.99%,1
31974,2012-10-16 14:26:56.133000000,60,Current,,0.23656,0.2118,WI,Administrative Assistant,Employed,679.0,Fair,20-24.99%,1
32047,2011-04-28 15:18:17.747000000,60,Completed,2012-08-10 00:00:00,0.3142,0.2899,WI,Sales - Retail,Employed,699.0,Fair,25-29.99%,1
32049,2013-10-31 07:34:31.233000000,60,Current,,0.31159,0.2849,WI,Waiter/Waitress,Employed,679.0,Fair,25-29.99%,1
32075,2008-06-13 19:52:43.193000000,36,Defaulted,2009-05-24 00:00:00,0.37453,0.35,WI,Other,Retired,579.0,Poor,35-39.99%,1
32179,2013-12-18 08:59:45.460000000,60,Current,,0.23984,0.215,WI,Teacher,Employed,719.0,Good,20-24.99%,1
32282,2009-09-24 11:38:46.437000000,36,Chargedoff,2012-12-14 00:00:00,0.38593,0.35,WI,Realtor,Self-employed,679.0,Fair,35-39.99%,1
32307,2006-05-12 14:54:58.210000000,36,Completed,2009-05-16 00:00:00,0.18824,0.17,WI,,,679.0,Fair,15-19.99%,1
32335,2012-01-25 08:17:06.100000000,36,Completed,2013-03-11 00:00:00,0.24246,0.2049,WI,Other,Other,699.0,Fair,20-24.99%,1
32340,2012-05-25 16:50:20.633000000,36,Completed,2013-11-19 00:00:00,0.35797,0.3177,WI,Other,Employed,739.0,Good,30-34.99%,1
32472,2011-10-06 14:28:14.363000000,12,Completed,2012-10-12 00:00:00,0.20857,0.1499,WI,Computer Programmer,Employed,659.0,Fair,10-14.99%,1
32486,2013-04-18 15:08:10.060000000,36,FinalPaymentInProgress,,0.13138,0.1034,WI,Laborer,Employed,759.0,Excellent,10-14.99%,1
32519,2012-03-13 07:22:51.607000000,60,Completed,2013-04-12 00:00:00,0.27246,0.2468,WI,Sales - Retail,Employed,699.0,Fair,20-24.99%,1
32562,2013-12-30 12:11:27.537000000,36,Current,,0.18275,0.1465,WI,,Other,679.0,Fair,10-14.99%,1
32670,2013-07-01 10:28:26.273000000,36,Current,,0.20462,0.1679,WI,Retail Management,Employed,679.0,Fair,15-19.99%,1
32762,2012-06-12 07:08:57.147000000,36,Current,,0.25259,0.2148,WI,Other,Employed,679.0,Fair,20-24.99%,1
32780,2013-11-19 08:20:45.747000000,60,Current,,0.20808,0.184,WI,Other,Employed,739.0,Good,15-19.99%,1
32892,2013-12-31 18:55:09.267000000,60,Current,,0.17685,0.1535,WI,Doctor,Employed,699.0,Fair,15-19.99%,1
32948,2008-02-14 14:13:29.783000000,36,Completed,2011-02-22 00:00:00,0.1336,0.1195,WI,Civil Service,Full-time,739.0,Good,10-14.99%,1
33061,2013-12-08 06:28:38.607000000,36,Current,,0.1899,0.1535,WI,Other,Employed,739.0,Good,15-19.99%,1
33189,2007-08-13 13:22:14.847000000,36,Completed,2010-07-30 00:00:00,0.16802,0.15,WI,Computer Programmer,Full-time,559.0,Poor,15-19.99%,1
33207,2012-02-22 14:26:15.400000000,36,Current,,0.24246,0.2049,WI,Other,Employed,699.0,Fair,20-24.99%,1
33216,2009-08-19 20:34:59.790000000,36,Defaulted,2012-08-15 00:00:00,0.28675,0.2635,WI,Food Service Management,Full-time,759.0,Excellent,25-29.99%,1
33244,2013-09-21 08:31:22.927000000,36,Current,,0.28544,0.2469,WI,Other,Other,659.0,Fair,20-24.99%,1
33263,2014-01-07 11:30:11.097000000,36,Current,,0.12691,0.099,WI,Executive,Employed,739.0,Good,5-9.99%,1
33391,2013-11-04 12:05:09.457000000,36,Current,,0.18479,0.1485,WI,Truck Driver,Self-employed,679.0,Fair,10-14.99%,1
33478,2011-12-11 19:38:21.163000000,36,Chargedoff,2012-12-28 00:00:00,0.35285,0.3127,WI,Skilled Labor,Employed,699.0,Fair,30-34.99%,1
33523,2012-09-29 06:15:15.760000000,60,Chargedoff,2013-04-11 00:00:00,0.35365,0.3258,WI,Other,Employed,659.0,Fair,30-34.99%,1
33625,2010-02-05 06:44:34.400000000,36,Completed,2011-04-14 00:00:00,0.32885,0.305,WI,Other,Full-time,659.0,Fair,30-34.99%,1
33633,2012-01-15 12:40:44.980000000,60,Current,,0.15784,0.1396,WI,Truck Driver,Employed,799.0,Excellent,10-14.99%,1
33662,2013-09-12 16:37:24.403000000,36,Completed,2013-12-27 00:00:00,0.19501,0.1585,WI,Other,Employed,679.0,Fair,15-19.99%,1
33839,2013-12-13 06:02:33.430000000,36,Current,,0.18275,0.1465,WI,Accountant/CPA,Employed,719.0,Good,10-14.99%,1
33844,2008-02-28 21:14:46.047000000,36,Completed,2011-01-10 00:00:00,0.09638,0.0895,WI,Postal Service,Full-time,799.0,Excellent,5-9.99%,1
33940,2012-12-03 16:01:33.067000000,60,Completed,2013-08-30 00:00:00,0.19907,0.1752,WI,Accountant/CPA,Employed,719.0,Good,15-19.99%,1
33970,2012-04-12 15:20:52.237000000,36,Current,,0.18316,0.1469,WI,Other,Employed,739.0,Good,10-14.99%,1
33985,2006-12-18 07:04:09.380000000,36,Chargedoff,2008-10-10 00:00:00,0.16215,0.155,WI,Other,Not available,679.0,Fair,15-19.99%,1
34226,2013-10-02 05:10:57.523000000,60,Current,,0.19323,0.1695,WI,Postal Service,Employed,699.0,Fair,15-19.99%,1
34250,2010-04-14 11:29:31.810000000,36,Completed,2013-04-05 00:00:00,0.08641,0.083,WI,Sales - Retail,Self-employed,819.0,Excellent,5-9.99%,1
34273,2014-02-12 14:50:31.480000000,36,Current,,0.13836,0.1099,WI,Professional,Employed,719.0,Good,10-14.99%,1
34348,2011-11-28 11:40:47.363000000,36,Current,,0.29486,0.2561,WI,Other,Employed,659.0,Fair,25-29.99%,1
34446,2013-11-03 08:11:36.973000000,36,Current,,0.28544,0.2469,WI,Skilled Labor,Employed,659.0,Fair,20-24.99%,1
34625,2014-01-28 08:58:11.837000000,36,Current,,0.14714,0.1189,WI,Nurse (RN),Employed,739.0,Good,10-14.99%,1
34652,2013-08-12 06:51:53.313000000,60,Current,,0.18852,0.1649,WI,Other,Other,759.0,Excellent,15-19.99%,1
34786,2014-01-06 07:07:15.403000000,60,Current,,0.17685,0.1535,WI,Other,Employed,699.0,Fair,15-19.99%,1
34809,2013-09-12 15:25:04.520000000,60,Current,,0.24754,0.2225,WI,Clerical,Employed,659.0,Fair,20-24.99%,1
34838,2011-07-30 19:07:43.607000000,60,Completed,2014-02-19 00:00:00,0.14657,0.1329,WI,Skilled Labor,Employed,759.0,Excellent,10-14.99%,1
34877,2013-06-28 12:35:11.543000000,60,Current,,0.28386,0.2579,WI,Laborer,Employed,739.0,Good,25-29.99%,1
35090,2011-08-29 14:03:41.790000000,36,Completed,2012-03-02 00:00:00,0.30532,0.2699,WI,Laborer,Employed,659.0,Fair,25-29.99%,1
35247,2009-10-29 04:47:39.850000000,36,Completed,2012-11-12 00:00:00,0.19196,0.17,WI,Executive,Full-time,799.0,Excellent,15-19.99%,1
35339,2012-01-20 09:13:28.247000000,36,Completed,2012-02-24 00:00:00,0.35797,0.3177,WI,Professional,Employed,679.0,Fair,30-34.99%,1
35383,2012-06-08 04:23:46.633000000,60,Completed,2012-09-10 00:00:00,0.20705,0.183,WI,Other,Employed,659.0,Fair,15-19.99%,1
35460,2013-02-25 09:09:36.770000000,12,Completed,2013-05-22 00:00:00,0.07691,0.0675,WI,Tradesman - Mechanic,Employed,739.0,Good,5-9.99%,1
35490,2014-01-07 14:54:14.317000000,60,Current,,0.19221,0.1685,WI,Analyst,Employed,699.0,Fair,15-19.99%,1
35501,2012-03-12 14:48:38.667000000,36,Completed,2013-07-22 00:00:00,0.17359,0.1449,WI,Nurse (RN),Employed,639.0,Poor,10-14.99%,1
35524,2012-07-02 13:07:30.893000000,60,Completed,2013-06-28 00:00:00,0.16151,0.1385,WI,Professional,Employed,699.0,Fair,10-14.99%,1
35531,2011-12-22 14:21:57.417000000,36,Completed,2013-03-08 00:00:00,0.14358,0.1154,WI,Computer Programmer,Employed,779.0,Excellent,10-14.99%,1
